from row           0 the value of time =         10 	 core=   0 	 operation=0 	 address=01ff97000 
from row           1 the value of time =         11 	 core=   1 	 operation=1 	 address=01ff97001 
from row           2 the value of time =         12 	 core=   2 	 operation=2 	 address=01ff97002 
from row           3 the value of time =         13 	 core=   3 	 operation=0 	 address=01ff97003 
from row           4 the value of time =         14 	 core=   4 	 operation=1 	 address=01ff97004 
from row           5 the value of time =         15 	 core=   5 	 operation=2 	 address=01ff97005 
from row           6 the value of time =         16 	 core=   6 	 operation=0 	 address=01ff97006 
from row           7 the value of time =         17 	 core=   7 	 operation=1 	 address=01ff97007 
from row           8 the value of time =         18 	 core=   8 	 operation=2 	 address=01ff97008 
from row           9 the value of time =         19 	 core=   9 	 operation=0 	 address=01ff97009 
from row          10 the value of time =         20 	 core=  10 	 operation=1 	 address=01ff97010 
from row          11 the value of time =         21 	 core=  11 	 operation=2 	 address=01ff97011 
from row          12 the value of time =         22 	 core=   0 	 operation=0 	 address=01ff97012 
from row          13 the value of time =         23 	 core=   1 	 operation=1 	 address=01ff97013 
from row          14 the value of time =         24 	 core=   2 	 operation=2 	 address=01ff97014 
from row          15 the value of time =         25 	 core=   3 	 operation=0 	 address=01ff97015 
from row          16 the value of time =         26 	 core=   4 	 operation=1 	 address=01ff97016 
from row          17 the value of time =         27 	 core=   5 	 operation=2 	 address=01ff97017 
from row          18 the value of time =         28 	 core=   6 	 operation=0 	 address=01ff97018 
from row          19 the value of time =         29 	 core=   7 	 operation=1 	 address=01ff97019 
from row          20 the value of time =         30 	 core=   8 	 operation=2 	 address=01ff97020 
from row          21 the value of time =         31 	 core=   9 	 operation=0 	 address=01ff97021 
from row          22 the value of time =         32 	 core=  10 	 operation=1 	 address=01ff97022 
from row          23 the value of time =         33 	 core=  11 	 operation=2 	 address=01ff97023 
from row          24 the value of time =         34 	 core=   0 	 operation=0 	 address=01ff97024 
from row          25 the value of time =         35 	 core=   1 	 operation=1 	 address=01ff97025 
from row          26 the value of time =         36 	 core=   2 	 operation=2 	 address=01ff97026 
from row          27 the value of time =         37 	 core=   3 	 operation=0 	 address=01ff97027 
from row          28 the value of time =         38 	 core=   4 	 operation=1 	 address=01ff97028 
from row          29 the value of time =         39 	 core=   5 	 operation=2 	 address=01ff97029 
from row          30 the value of time =         40 	 core=   6 	 operation=0 	 address=01ff97030 
from row          31 the value of time =         41 	 core=   7 	 operation=1 	 address=01ff97031 
from row          32 the value of time =         42 	 core=   8 	 operation=2 	 address=01ff97032 
from row          33 the value of time =         43 	 core=   9 	 operation=0 	 address=01ff97033 
from row          34 the value of time =         44 	 core=  10 	 operation=1 	 address=01ff97034 
from row          35 the value of time =         45 	 core=  11 	 operation=2 	 address=01ff97035 
